Nome,Vida,Atk,Def,SpA,SpD,Vel,Mag,Per,Ene,EnR,CrD,CrC,Sinergia,Habilidades,Equipaveis,Total,Poder R1,Poder R2,Poder R3,Tipo1,%1,Tipo2,%2,Tipo3,%3,Altura,Peso,Grupo,Raridade,Estagio,FF,Code,Linhagem
Pichu,21,21,11,22,11,25,15,8,18,18,5,10,3,1,0,450,136,238,303,eletrico,100,,,,,0.35,1.9,rato,-,0,,37,10
Pikachu,50,28,16,30,22,38,20,13,27,27,6,12,5,1,1,690,192,350,466,eletrico,100,,,,,0.5,5.3,rato,4,1,,38,10
Gigantamax Pikachu,190,36,18,35,27,15,20,12,55,27,10,12,5,1,1,890,372,550,656,eletrico,100,,,,,8,750,rato,-,FF,,39,10
Raichu,59,39,21,39,27,45,27,17,34,27,10,15,4,1,2,840,246,427,577,eletrico,100,,,,,0.8,15.8,rato,7,2,,40,10
Ultra Raichu,59,39,22,42,26,49,40,17,34,27,10,25,4,1,2,910,262,467,623,eletrico,100,psiquico,100,voador,10,0.75,15.8,rato,-,FF,,41,10
Sandshrew,51,26,34,10,16,19,13,26,26,12,12,15,2,1,1,580,172,313,401,terrestre,100,,,,,0.6,11,tatu,3,1,,42,11
Ultra Sandsherew,53,26,35,12,19,19,20,36,28,14,12,15,2,1,1,640,198,343,449,terrestre,100,gelo,100,metal,80,0.65,25,tatu,-,FF,,43,11
Sandslash,68,42,46,16,21,24,15,60,37,25,24,16,2,1,2,890,296,488,626,terrestre,100,,,,,1,27.5,tatu,7,2,,44,11
Ultra Sandslash,68,44,47,18,24,24,33,70,39,26,24,16,2,1,2,970,322,534,682,terrestre,100,gelo,100,metal,80,1,52,tatu,-,FF,,45,11
Nidoran♀,50,26,21,20,21,23,24,22,29,11,10,18,1,1,1,600,160,298,422,venenoso,50,terrestre,10,,,0.4,6.5,rato,3,1,,46,12
Nidorina,79,36,32,25,30,28,30,26,30,15,10,19,2,1,2,780,215,395,553,venenoso,80,terrestre,50,,,0.8,14,rato,6,2,,47,12
Nidoqueen,116,52,44,28,42,34,39,33,56,18,12,20,3,1,3,1050,332,582,772,venenoso,100,terrestre,100,,,1.35,58.5,rinoceronte,9,3,,48,12
Nidoran♂,50,26,20,22,20,22,23,24,29,11,10,18,1,1,1,600,160,298,422,venenoso,50,terrestre,10,,,0.45,8,rato,3,1,,49,13
Nidorino,83,39,25,31,25,27,28,30,30,15,10,19,2,1,2,780,223,399,553,venenoso,80,terrestre,50,,,0.75,14.5,rato,6,2,,50,13
Nidoking,122,57,34,37,34,33,34,40,56,18,12,20,3,1,3,1050,348,570,772,venenoso,100,terrestre,100,,,1.45,61,rinoceronte,9,3,,51,13
Cleffa,48,6,11,19,21,8,26,6,24,10,5,5,4,1,0,420,148,250,298,fada,100,cosmico,100,,,0.25,2.9,bola,-,0,,52,14
Clefairy,81,10,14,26,30,13,38,8,30,13,5,8,4,1,1,590,217,357,429,fada,100,cosmico,100,,,0.6,7.6,bola,4,1,,53,14
Clefable,118,15,22,42,55,16,72,22,50,16,6,14,4,1,2,930,372,600,708,fada,100,cosmico,100,,,1.25,42,bola,7,2,,54,14
Vulpix,41,18,16,21,27,27,24,13,22,14,6,13,2,1,1,550,156,283,379,fogo,100,,,,,0.6,9,raposa,3,1,,55,15
Ultra Vulpix,41,18,16,25,31,31,31,14,25,15,6,13,2,1,1,600,186,327,425,gelo,100,fada,50,,,0.6,8.8,raposa,-,FF,,56,15
Ninetales,72,31,22,37,52,50,45,16,38,19,12,18,2,1,2,900,294,516,660,fogo,100,,,,,1.1,19.9,raposa,7,2,,57,15
Ultra Ninetales,72,31,22,45,61,54,67,18,40,19,14,18,2,1,2,1000,364,606,750,gelo,100,fada,100,,,1.1,19.8,raposa,-,FF,,58,15
Igglybuff,62,18,8,9,8,11,14,10,20,16,8,8,3,1,0,420,138,220,274,fada,100,sonoro,80,,,0.25,1.1,bola,-,0,,59,16
Jigglypuff,106,26,12,13,12,21,20,17,30,18,10,10,3,1,1,610,218,336,420,fada,100,sonoro,100,,,0.55,4.5,bola,4,1,,60,16
Wigglytuff,146,35,14,17,17,33,25,21,40,20,15,15,4,1,2,820,296,454,562,fada,100,sonoro,80,,,1,12,bola,6,2,,61,16
Zubat,36,20,15,11,16,37,14,15,18,18,10,10,2,1,1,520,150,254,342,venenoso,100,voador,100,,,0.7,7.2,morcego,1,1,,62,17
Golbat,74,42,28,22,29,44,25,26,38,20,16,20,2,1,2,850,248,436,582,venenoso,100,voador,100,,,1.55,45,morcego,6,2,,63,17
Crobat,78,45,29,23,30,83,26,29,40,32,18,20,2,1,2,1010,336,538,706,venenoso,100,voador,100,,,1.75,64.5,morcego,9,3,,64,17
Oddish,39,14,17,22,19,19,27,11,27,12,5,12,4,1,1,530,152,267,353,planta,100,venenoso,10,,,0.45,4.2,planta,2,1,,65,18
Gloom,59,18,22,32,26,22,33,13,45,16,10,15,4,1,1,700,220,375,487,planta,100,venenoso,50,,,0.75,8.1,cogumelo,5,2,,66,18
Vileplume,120,20,29,47,38,24,34,16,76,26,10,16,4,1,3,990,366,568,708,planta,100,venenoso,80,,,1.2,22.4,flor,8,3,,67,18
Bellossom,62,26,27,52,40,32,58,14,45,28,10,16,5,2,2,970,310,516,678,planta,100,sonoro,50,fada,10,0.55,5.9,flor,7,3,,68,18
Paras,37,25,21,21,19,15,17,21,18,12,18,19,1,1,1,560,134,252,361,planta,100,inseto,80,,,0.3,4.4,caranguejo,2,1,,69,19
Parasect,87,46,37,29,30,16,17,25,45,15,36,25,1,1,2,890,269,475,633,planta,100,inseto,80,,,1,29.5,caranguejo,8,2,,70,19
Venonat,53,21,22,24,22,24,24,12,22,15,10,15,4,1,0,590,149,285,401,inseto,100,venenoso,100,,,0.7,30.0,bola,2,1,,71,20
Venomoth,68,25,27,40,29,35,45,15,34,18,12,18,4,1,2,830,240,434,574,inseto,100,venenoso,100,,,1.3,12.5,borboleta,6,2,,72,20
Diglett,17,30,14,16,20,40,10,15,20,19,9,10,5,1,1,570,180,290,368,terrestre,100,,,,,0.2,0.8,topeira,2,1,,73,21
Dugtrio,48,54,21,24,30,58,16,16,32,20,10,10,5,1,3,820,288,444,558,terrestre,100,,,,,0.2,13.3,topeira,5,2,,74,21
Ultra Dugtrio,50,58,21,24,35,60,30,18,35,25,16,10,5,1,3,920,306,486,626,terrestre,100,metal,50,,,0.65,16.4,topeira,-,FF,,75,21
Meowth,43,24,20,14,18,33,12,24,22,22,20,15,2,1,1,630,162,293,409,normal,100,,,,,0.55,4.6,gato,3,1,,76,22
Ultra Meowth,43,24,20,24,18,33,12,24,22,22,20,15,2,1,1,650,162,298,421,sombrio,100,cosmico,10,,,0.55,4.5,gato,-,FF,,77,22
Gigantamax Meowth,185,34,24,14,19,18,12,28,32,22,20,15,2,1,1,800,317,465,579,normal,100,,,,,7,250,gato,-,FF,,78,22
Persian,68,36,23,18,20,48,14,34,36,26,30,20,2,1,2,860,240,436,574,normal,100,,,,,0.85,28.5,gato,7,2,,79,22
Ultra Persian,68,36,23,38,20,48,14,34,36,26,30,20,2,1,2,900,244,452,610,sombrio,100,cosmico,10,,,0.65,27.2,gato,-,FF,,80,22
Perrserker,52,35,21,15,19,38,12,36,32,28,35,25,2,1,2,840,218,408,552,metal,80,normal,50,,,0.6,7.2,gato,,,,80,22
Ultra Perrserker,59,39,22,17,21,40,16,43,34,28,40,25,2,1,2,910,246,451,601,metal,100,normal,50,,,0.85,23.8,gato,7,2,,81,22
Psyduck,52,20,24,28,35,18,25,10,27,10,8,10,2,1,2,600,180,330,426,agua,100,psiquico,50,,,0.7,19.6,pato,4,1,,82,23
Golduck,73,38,34,48,36,40,28,42,32,22,16,25,2,1,2,960,260,481,669,agua,100,,,,,1.65,76.6,pato,7,2,,83,23
Mankey,44,28,19,19,22,27,14,12,25,24,6,10,2,1,1,580,160,296,400,lutador,100,,,,,0.55,16.7,macaco,3,1,,84,24
Primeape,78,53,31,30,36,37,16,15,40,25,12,20,2,1,2,870,264,472,622,lutador,100,,,,,1,55.1,macaco,7,2,,85,24
Annihilape,105,61,38,30,42,42,38,19,46,25,16,25,3,1,2,1050,319,563,749,lutador,100,fantasma,100,,,1.15,57.7,macaco,10,3,,86,24
Growlithe,55,29,22,28,22,25,18,12,28,13,10,15,2,1,1,610,170,319,429,fogo,100,,,,,0.65,19.0,cachorro,4,1,,87,25
Ultra Growlithe,55,31,28,29,26,25,18,12,30,13,10,15,2,1,1,640,180,343,459,fogo,100,pedra,100,,,0.7,26.8,cachorro,-,FF,,88,25
Arcanine,125,56,36,51,36,45,23,18,55,20,15,20,2,1,2,1030,347,611,769,fogo,100,,,,,1.9,145.4,cachorro,9,2,,89,25
Ultra Arcanine,125,60,49,54,46,45,23,18,60,20,15,20,2,1,2,1100,365,663,839,fogo,100,pedra,100,,,1.95,195.4,cachorro,-,FF,,90,25
Poliwag,43,25,21,21,21,38,18,14,22,18,5,10,3,1,1,590,170,297,411,agua,100,,,,,0.55,8.9,sapo,3,1,,91,26
Poliwhirl,69,35,32,26,29,36,22,18,36,22,10,15,3,1,1,770,214,405,545,agua,100,,,,,0.95,20.0,sapo,6,2,,92,26
Poliwrath,106,56,56,38,51,28,28,27,46,22,14,18,3,1,2,1040,330,600,766,lutador,100,agua,100,,,1.5,54.4,sapo,9,3,,93,26
Politoed,89,38,38,42,56,48,32,24,42,30,12,15,4,1,2,1030,297,541,741,agua,100,,,,,1.1,33.9,sapo,8,3,,94,26
Abra,36,11,9,35,29,26,25,16,25,20,5,9,3,1,1,580,180,320,410,psiquico,100,,,,,0.9,17.5,gato,3,1,,95,27
Kadabra,56,16,16,51,39,38,33,20,35,25,6,10,4,1,1,780,256,448,570,psiquico,100,,,,,1.35,56.5,gato,6,2,,96,27
Alakazam,66,23,20,75,45,54,44,29,45,28,12,12,5,2,2,1050,348,592,752,psiquico,100,,,,,1.55,48.0,gato,9,3,,97,27
Mega Alakazam,66,25,21,93,47,66,53,29,45,30,14,18,5,2,2,1170,424,674,842,psiquico,100,,,,,1.55,48.0,gato,-,FF,,98,27
Machop,62,28,23,16,18,18,10,12,30,15,11,15,5,1,1,600,178,296,388,lutador,100,,,,,0.85,19.5,pato,3,1,,99,28
Machoke,100,41,30,24,34,26,10,13,43,15,11,15,5,1,2,790,268,448,556,lutador,100,,,,,1.55,70.5,pato,6,2,,100,28
Machamp,132,70,44,34,51,30,12,18,56,22,12,18,5,1,2,1050,384,642,782,lutador,100,,,,,1.75,125.4,pato,9,3,,101,28
Gigantamax Machamp,320,76,50,34,51,18,12,18,59,22,14,18,5,1,2,1250,590,860,976,lutador,100,,,,,25,999,pato,-,FF,,102,28
Bellsprout,41,26,19,26,18,21,18,14,23,16,10,15,4,1,1,590,150,271,375,planta,100,venenoso,80,,,0.7,7.2,planta,2,1,,103,29
Weepinbell,75,35,24,34,22,26,23,16,36,18,12,25,4,1,1,770,217,387,525,planta,100,venenoso,100,,,0.95,16.0,planta,5,2,,104,29
Victreebel,96,54,29,50,28,32,32,32,42,20,20,32,4,2,2,1050,304,516,702,planta,100,venenoso,100,,,1.7,32.2,planta,8,3,,105,29
Tentacool,44,21,20,23,37,29,22,13,19,12,8,12,3,1,1,590,178,308,412,agua,100,venenoso,100,,,0.9,25.8,polvo,3,1,,106,30
Tentacruel,82,34,29,40,67,49,37,24,34,15,25,15,3,1,2,980,314,536,712,agua,100,venenoso,100,sombrio,10,1.6,55,polvo,7,2,,107,30
Geodude,46,29,32,16,16,14,14,16,25,10,5,15,5,1,1,560,172,282,372,pedra,100,terrestre,80,,,0.4,12.5,rocha,2,1,,108,31
Ultra Geodude,46,29,32,28,16,14,17,16,26,12,5,15,5,1,1,600,178,310,404,pedra,100,terrestre,80,eletrico,80,0.4,12.5,rocha,-,FF,,109,31
Graveler,82,39,51,22,22,16,16,24,45,12,10,20,5,1,2,800,274,444,560,pedra,100,terrestre,80,,,1,110.6,rocha,5,2,,110,31
Ultra Graveler,82,39,51,41,22,16,20,24,51,15,10,20,5,1,2,870,286,494,618,pedra,100,terrestre,80,eletrico,80,1,110.6,rocha,-,FF,,111,31
Golem,111,51,73,30,33,19,19,27,64,16,16,25,5,1,2,1040,385,613,755,pedra,100,terrestre,100,,,1.45,295,rocha,9,3,,112,31
Ultra Golem,111,51,73,58,33,19,22,27,68,16,16,25,5,1,2,1110,398,677,825,pedra,100,terrestre,100,eletrico,100,1.7,316,rocha,-,FF,,113,31
Ponyta,46,30,19,23,23,32,18,15,25,24,4,12,3,1,1,630,174,314,434,fogo,100,,,,,0.95,30.2,cavalo,3,1,,114,32
Ultra Ponyta,46,30,19,28,23,32,45,15,25,24,4,14,3,1,1,700,214,368,498,cosmico,100,psiquico,80,fada,10,0.7,30.1,cavalo,-,FF,,115,32
Rapidash,86,46,26,31,31,50,27,20,38,28,12,16,3,1,2,910,278,478,640,fogo,100,,,,,1.75,95,cavalo,6,2,,116,32
Ultra Rapidash,86,46,26,38,31,50,63,20,38,30,12,18,3,1,2,1010,318,556,730,cosmico,100,psiquico,80,fada,10,1.7,93.5,cavalo,-,FF,,117,32
Slowpoke,87,27,27,23,23,14,20,18,26,8,10,15,1,1,1,600,195,339,445,agua,100,psiquico,50,,,1.15,35.3,hipopotamo,3,1,,118,33
Slowbro,95,34,50,42,37,18,32,22,35,12,14,15,1,1,2,840,279,491,635,agua,100,psiquico,100,,,1.5,78,hipopotamo,6,2,,119,33
Ultra Slowbro,95,42,50,42,37,18,32,44,35,14,16,17,1,1,2,920,283,525,695,psiquico,100,venenoso,100,,,1.55,70.5,hipopotamo,-,FF,,120,33
Mega Slowbro,97,34,83,46,37,18,35,22,38,12,18,15,1,1,2,940,355,575,723,agua,100,psiquico,100,,,1.8,110,hipopotamo,-,FF,,121,33
Slowking,95,33,35,42,50,16,32,19,36,12,12,15,1,1,2,820,279,487,621,psiquico,100,agua,100,,,1.9,79.5,hipopotamo,7,2,,122,33
Ultra Slowking,96,33,35,55,64,18,42,19,42,18,12,20,1,1,2,950,334,572,716,psiquico,100,agua,100,fantasma,50,1.8,80.5,hipopotamo,-,FF,,123,33
Magnemite,30,18,26,28,24,22,20,17,22,20,14,8,3,1,0,580,156,284,394,metal,100,eletrico,100,,,0.3,6.2,maquina,2,1,,124,34
Magneton,58,24,37,43,31,31,25,20,34,25,16,8,3,1,2,810,228,410,558,metal,100,eletrico,100,,,0.9,59.8,maquina,6,2,,125,34
Magnezone,91,29,55,61,47,33,27,24,45,26,18,13,4,2,2,1050,326,573,737,metal,100,eletrico,100,,,1.2,180,maquina,9,3,,126,34
Magnezone Radiante,91,32,54,59,48,37,30,26,44,28,21,13,5,2,2,1095,322,575,755,metal,100,eletrico,100,,,1.2,180,maquina,-,FF,,127,34
Farfetch’d,44,30,22,22,23,24,20,20,24,24,20,20,1,1,1,680,156,294,422,normal,100,voador,100,,,0.7,12,pato,4,1,,128,35
Sirfetch’d,54,55,38,29,33,32,22,37,29,29,30,30,1,2,2,990,260,450,626,lutador,100,,,,,0.8,30.4,pato,9,2,,129,35
Doduo,43,30,23,20,20,28,18,27,26,20,10,11,2,1,1,630,170,311,431,normal,100,voador,100,,,1.35,34.5,avestruz,2,1,,130,36
Dodrio,67,46,30,27,27,46,20,50,38,24,11,12,2,1,2,880,284,487,643,normal,100,voador,100,,,1.75,82.2,avestruz,6,2,,131,36
Seel,52,19,24,19,27,21,24,20,25,13,10,16,2,1,1,600,156,294,410,agua,100,gelo,10,,,1,55,foca,3,1,,132,37
Dewgong,78,26,34,26,44,28,38,29,40,16,10,16,2,2,2,850,246,448,608,agua,100,gelo,100,,,1.6,90,foca,7,2,,133,37
Grimer,58,28,24,21,24,17,21,14,24,8,12,16,4,1,1,600,162,300,408,venenoso,100,,,,,0.85,28.5,gosma,3,1,,134,38
Ultra Grimer,58,28,24,27,24,21,27,14,24,10,12,16,4,1,1,640,168,318,440,venenoso,100,sombrio,50,,,0.85,29.5,gosma,-,FF,,135,38
Muk,112,60,31,26,60,19,32,19,44,10,16,16,4,1,2,930,352,566,694,venenoso,100,,,,,1.2,65,gosma,8,2,,136,38
Ultra Muk,112,60,31,45,60,29,45,19,44,14,16,16,4,1,2,1030,352,620,778,venenoso,100,sombrio,100,,,1.2,68,gosma,-,FF,,137,38
Shellder,32,24,34,20,16,24,17,18,19,12,7,15,2,1,0,530,164,278,376,agua,100,,,,,0.3,4,concha,2,1,,138,39
Cloyster,69,39,79,34,27,33,27,28,38,16,34,15,2,1,2,970,312,517,693,agua,100,gelo,80,sombrio,50,1.4,132.4,concha,8,2,,139,39
Gastly,36,20,16,34,20,30,24,17,18,18,8,10,4,1,0,580,176,292,398,fantasma,100,venenoso,80,,,0.6,0.1,espirito,3,1,,140,40
Haunter,78,26,19,45,30,39,27,22,32,20,12,12,5,1,2,820,246,424,560,fantasma,100,venenoso,80,,,1.5,0.1,espirito,7,2,,141,40
Gengar,83,32,24,67,39,51,32,32,40,26,18,25,4,1,2,1050,319,541,721,fantasma,100,venenoso,80,,,1.5,40.5,espirito,9,3,,142,40
Mega Gengar,83,33,31,84,50,62,32,32,43,26,18,25,4,1,2,1150,392,627,817,fantasma,100,venenoso,80,,,1.65,50.5,espirito,-,FF,,143,40
Gigantamax Gengar,261,39,28,68,41,17,32,35,62,26,22,25,4,1,2,1250,521,751,923,fantasma,100,venenoso,80,,,17,850,espirito,-,FF,,144,40
Onix,53,28,65,17,22,32,14,20,31,12,11,16,5,1,2,750,256,409,515,pedra,100,terrestre,100,,,8,210,cobra,5,1,,145,41
Steelix,94,48,87,23,30,28,17,28,45,15,18,20,5,1,2,990,364,570,712,metal,100,terrestre,100,,,9.5,420,cobra,9,2,,146,41
Mega Steelix,96,66,100,25,41,28,19,35,46,16,20,20,5,1,2,1110,428,672,818,metal,100,terrestre,100,,,10.8,710,cobra,-,FF,,147,41
Drowzee,54,23,21,20,30,18,23,8,40,15,5,15,3,1,1,610,194,328,434,psiquico,100,,,,,1,32.4,anta,3,1,,148,42
Hypno,77,31,29,31,59,20,27,10,70,20,8,15,3,1,2,870,335,517,651,psiquico,100,,,,,1.6,73.6,anta,6,2,,149,42
Krabby,36,36,28,15,15,24,18,24,20,12,12,20,2,1,1,600,176,304,406,agua,100,,,,,0.45,6.3,caranguejo,3,1,,150,43
Kingler,74,54,44,19,20,30,22,43,33,14,25,25,2,1,2,890,282,482,626,agua,100,,,,,1.25,45,caranguejo,7,2,,151,43
Gigantamax Kingler,220,61,51,19,23,19,22,43,39,14,35,25,2,1,2,1090,444,678,818,agua,100,,,,,14,430,caranguejo,-,FF,,152,43
Voltorb,42,17,21,22,22,34,17,16,40,16,12,20,1,1,0,610,192,320,428,eletrico,100,,,,,0.5,9.5,bola,3,1,,153,44
Ultra Voltorb,42,17,34,22,22,34,17,16,40,16,15,25,1,1,0,660,216,354,464,eletrico,100,planta,100,,,0.5,8.5,bola,-,FF,,154,44
Electrode,66,19,30,36,36,56,20,18,80,22,12,20,1,1,2,910,344,542,666,eletrico,100,,,,,1.1,66.6,bola,6,2,,155,44
Ultra Electrode,66,19,45,36,36,56,20,18,80,22,16,26,1,1,2,970,362,572,708,eletrico,100,planta,100,,,1.1,59.6,bola,-,FF,,156,44
Exeggcute,38,19,26,20,22,20,22,12,25,10,10,10,2,1,1,530,146,270,370,planta,100,psiquico,80,,,0.2,2.3,comida,2,1,,157,45
Exeggutor,108,47,39,62,32,26,35,20,65,16,12,20,2,2,2,1020,362,604,760,planta,100,psiquico,100,,,2.05,138.7,arvore,8,2,,158,45
Ultra Exeggutor,108,54,39,62,32,26,35,26,65,16,15,35,2,2,2,1100,362,618,804,planta,100,psiquico,100,dragao,80,9.5,412.5,arvore,-,FF,,159,45
Cubone,45,23,30,21,23,17,14,12,15,15,10,15,5,1,1,580,152,273,363,terrestre,100,pedra,10,,,0.45,6.6,rato,3,1,,160,46
Marowak,56,38,45,26,38,21,17,14,25,25,12,20,5,1,2,810,242,400,532,terrestre,100,pedra,10,,,0.9,23.9,rato,6,2,,161,46
Ultra Marowak,66,38,45,47,38,21,26,14,27,27,13,25,5,1,2,910,260,456,612,terrestre,100,fogo,100,pedra,10,1.3,35.8,rato,-,FF,,162,46
Tyrogue,38,17,17,17,17,20,2,16,18,15,4,4,4,1,0,430,114,216,312,lutador,100,,,,,0.7,21,humanoide,-,0,,163,47
Hitmonlee,77,45,36,23,50,25,8,23,32,18,22,17,5,1,2,860,267,453,589,lutador,100,,,,,1.5,49.8,arvore,5,1,,164,47
Hitmonchan,69,48,26,23,50,30,8,23,34,20,22,17,5,1,2,860,265,445,581,lutador,100,,,,,1.4,48.6,arvore,5,1,,165,47
Hitmontop,61,36,31,23,50,35,8,23,36,22,22,17,5,1,2,860,244,437,573,lutador,100,,,,,1.3,46,arvore,5,1,,166,47
Lickitung,100,27,42,29,42,24,34,29,29,20,2,4,2,1,2,790,268,452,612,normal,100,,,,,1.15,65.5,criatura,5,1,,167,48
Lickilicky,120,35,47,35,47,24,36,30,36,20,15,15,2,1,2,950,308,522,700,normal,100,fada,10,,,1.65,140,criatura,7,2,,168,48
Koffing,42,25,31,24,20,18,22,11,30,15,10,12,4,1,1,610,172,306,412,venenoso,100,,,,,0.6,1.2,bola,3,1,,169,49
Weezing,80,38,48,37,32,27,31,18,46,18,12,16,4,1,2,890,268,482,634,venenoso,100,,,,,1.2,9.8,bola,8,2,,170,49
Ultra Weezing,80,38,48,39,43,27,51,18,48,28,12,16,4,1,2,1000,294,538,724,venenoso,100,fada,100,,,3,16.8,bola,-,FF,,171,49
Rhyhorn,64,34,36,16,16,12,11,26,32,15,8,12,3,1,1,620,204,352,438,terrestre,100,pedra,50,,,1.05,115.0,rinoceronte,4,1,,172,50
