Nome,Descrição,Fator,Raridade,Bau,Valor,Stacks,Estilo,Code
Machado de Ouro,Ferramenta leve usada para cortes rápidos em recursos naturais.,4,3,n,10,1,ferramenta,67
Machado de Diamante,Ferramenta avançada usada para extração eficiente de madeira.,5,4,n,24,1,ferramenta,68
Machado de Ametista,Ferramenta refinada usada para coleta avançada de recursos naturais.,6,5,n,28,1,ferramenta,69
Machado de Rubi,Ferramenta poderosa usada para corte e extração de alto nível.,7,6,n,30,1,ferramenta,70
Lamina Fumegante,,-,,n,35,1,equipavel,71
Machadinha Ignea,,-,,n,35,1,equipavel,72
Emblema da Chama,,-,,n,35,1,equipavel,73
Capa Solari,,-,,n,35,1,equipavel,74
Fluxo Aquatico,,-,,n,35,1,equipavel,75
Gota Sagrada,,-,,n,35,1,equipavel,76
Semblante das Aguas,,-,,n,35,1,equipavel,77
Emblema da Semente,,-,,n,35,1,equipavel,78
Armadura Natural,,-,,n,35,1,equipavel,79
Estilingue das Folhas,,-,,n,35,1,equipavel,80
Trovao Encapsulado,,-,,n,35,1,equipavel,81
Semblante Congelado,,-,,n,35,1,equipavel,82
Coroa do Inverno Eterno,,-,,n,35,1,equipavel,83
Coração de Gelo,,-,,n,35,1,equipavel,84
Punho Congelado,,-,,n,35,1,equipavel,85
Amuleto sintilante,,-,,n,35,1,equipavel,86
Idolo Perdido,,-,,n,35,1,equipavel,87
Arco dos Ventos,,-,,n,35,1,equipavel,88
Espada Envenenada,,-,,n,35,1,equipavel,89
Dente do Fim,,-,,n,35,1,equipavel,90
Arco de Ossos,,-,,n,35,1,equipavel,91
Serra Toxica,,-,,n,35,1,equipavel,92
Mao Sinistra,,-,,n,35,1,equipavel,93
Maldição,,-,,n,35,1,equipavel,94
Capa Assombrada,,-,,n,35,1,equipavel,95
Machado Amaldiçoado,,-,,n,35,1,equipavel,96
Eternidade,,-,,n,35,1,equipavel,97
Elmo Cosmico,,-,,n,35,1,equipavel,98
Mascara do Mosquito Gigante,,-,,n,35,1,equipavel,99
Espada Mental,,-,,n,35,1,equipavel,100
Elmo Psionico,,-,,n,35,1,equipavel,101
Mao que Tudo Ve,,-,,n,35,1,equipavel,102
Coração de Ferro,,-,,n,35,1,equipavel,103
Elmo Abençoado,,-,,n,35,1,equipavel,104
Placa defensiva,,-,,n,35,1,equipavel,105
Botas Colossais,,-,,n,35,1,equipavel,106
Cinto do Gigante,,-,,n,35,1,equipavel,107
Faixa da Escolha,,-,,n,35,1,equipavel,108
Punho Robusto,,-,,n,35,1,equipavel,109
Estaca Terrestre,,-,,n,35,1,equipavel,110
Pedra Flutuante,,-,,n,35,1,equipavel,111
Sismitarra Marcada,,-,,n,35,1,equipavel,112
Cajado do Som,,-,,n,35,1,equipavel,113
Sino Dourado,,-,,n,35,1,equipavel,114
Emblema das Sombras,,-,,n,35,1,equipavel,115
Faca do Dragão,,-,,n,35,1,equipavel,116
Ombreira da Escama Ardente,,-,,n,35,1,equipavel,117
Capa Alheia,,-,,n,35,1,equipavel,118
Chapeu do Bruxo,,-,,n,35,1,equipavel,119
Espada Energizada,,-,,n,35,1,equipavel,120
Quebra Barreira,,-,,n,35,1,equipavel,121
Besta Afiada,,-,,n,35,1,equipavel,122
Anjo Guardião,,-,,n,35,1,equipavel,123
Bastião Inabalavel,,-,,n,35,1,equipavel,124
Botas do Sucesso,,-,,n,35,1,equipavel,125
Colete de Espinhos,,-,,n,35,1,equipavel,126
Tiara Encantada,,-,,n,35,1,equipavel,127
Coroa da Vitória,,-,,n,35,1,equipavel,128
Armadura Reforçada,,-,,n,35,1,equipavel,129
Centro Espiritual,,-,,n,35,1,equipavel,130
Essencia Radiante,,-,,n,50,1,equipavel,131
Pedra da Ultra Evolução,,-,,n,50,1,equipavel,132
Energia Gigantamax,,-,,n,50,1,equipavel,133
Pedra da Mega Evolução,,-,,n,50,1,equipavel,134
