Nome,Estadio,Cargo,Nivel,Skin,Batalhas,Pokemon1,Pokemon2,Pokemon3,Pokemon4,Pokemon5,Pokemon6,Pokemon7,Pokemon8,Pokemon9,Pokemon10,Pokemon11,Pokemon12,Presente 1,Quantidade 1,Presente 2,Quantidade 2,Presente 3,Quantidade 3,Code
Catarina,,Capitão,,,,,,,,,,,,,,,,,,,,,,23
André Bian,,Capitão,,,,,,,,,,,,,,,,,,,,,,24
JM,,Capitão,,,,,,,,,,,,,,,,,,,,,,25
Laura,Eletrico,Capitão,,,,,,,,,,,,,,,,,,,,,,26
Carol,Fogo,Capitão,,,,,,,,,,,,,,,,,,,,,,27
Justo,Sombrio,Capitão,,,,,,,,,,,,,,,,,,,,,,28
Joao Felipe,,Capitão,,,,,,,,,,,,,,,,,,,,,,29
Xavier,,Capitão,,,,,,,,,,,,,,,,,,,,,,30
Martinelli,,Capitão,,,,,,,,,,,,,,,,,,,,,,31
Enrico,,Capitão,,,,,,,,,,,,,,,,,,,,,,32
Tutu,,Capitão,,,,,,,,,,,,,,,,,,,,,,33
André Cond,,Capitão,,,,,,,,,,,,,,,,,,,,,,34
Gabslage,,Capitão,,,,,,,,,,,,,,,,,,,,,,35
Bruno,,Capitão,,,,,,,,,,,,,,,,,,,,,,36
Lyan,,Capitão,,,,,,,,,,,,,,,,,,,,,,37
Dayan,,Capitão,,,,,,,,,,,,,,,,,,,,,,38
Wippich,,Capitão,,,,,,,,,,,,,,,,,,,,,,39
,,Capitão,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
,,Desafiante,,,,,,,,,,,,,,,,,,,,,,
