Ataque,Custo Nivel 1,Custo Nivel 2,Custo Nivel 3,Tipo,Estilo,Descrição Nivel 1,Descrição Nivel 2,Descrição Nivel 3,Code
Hiper Presa,45,65,90,normal,alvo,"Causa (140% de Atk) como dano normal. Se for crítico, o alvo recua. Este ataque não pode ultrapassar 80% de CrC.","Causa (165% de Atk) como dano normal. Se for crítico, o alvo recua. Este ataque não pode ultrapassar 80% de CrC.","Causa (195% de Atk) como dano normal. Se for crítico, o alvo recua. Este ataque não pode ultrapassar 80% de CrC.",17
Acumulador,0,0,0,normal,passivo,O usuário ganha +4 de Amplificação toda vez que é atacado.,O usuário ganha +5 de Amplificação toda vez que é atacado.,O usuário ganha +6 de Amplificação toda vez que é atacado.,18
Bola de Fogo,60,85,110,fogo,alvo,Causa (105% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos adjacentes ao alvo.,Causa (130% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos adjacentes ao alvo.,Causa (160% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos adjacentes ao alvo.,19
Bola de Agua,60,85,110,agua,alvo,Causa (105% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos adjacentes ao alvo.,Causa (130% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos adjacentes ao alvo.,Causa (160% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos adjacentes ao alvo.,20
Bola Eletrica,60,85,110,eletrico,alvo,Causa (105% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos adjacentes ao alvo.,Causa (130% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos adjacentes ao alvo.,Causa (160% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos adjacentes ao alvo.,21
Bola Sombria,60,85,110,sombrio,alvo,Causa (105% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos adjacentes ao alvo.,Causa (130% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos adjacentes ao alvo.,Causa (160% de SpA) como dano especial. Também causa (50% do dano causado) a inimigos adjacentes ao alvo.,22
Nas Sombras,50,,,sombrio,ativa,O usuário fica Furtivo.,,,23
Gota Pesada,40,,,agua,alvo,Aplica Encharcado no inimigo.,,,24
Queimar,35,,,fogo,alvo,Aplica Queimado no inimigo.,,,25
Envenenar,40,,,venenoso,alvo,Aplica Envenenado no inimigo.,,,26
Energizar,45,,,eletrico,alvo,O alvo fica Energizado.,,,27
Confusão,45,,,psiquico,alvo,Aplica Confuso no inimigo.,,,28
Regeneração,45,,,inseto,alvo,O alvo recebe Regeneração.,,,29
Voar,50,,,voador,ativa,O usuário fica Voando.,,,30
Flutuar,40,,,psiquico,ativa,O usuário fica Flutuando.,,,31
Benção,55,,,fada,alvo,O alvo fica Abençoado.,,,32
Som Atordoante,45,,,sonoro,alvo,Aplica Atordoado no inimigo.,,,33
Raizes,50,,,planta,alvo,Aplica Enraizado no inimigo.,,,34
Grito de Guerra,25,35,50,lutador,ativa,O usuário ganha (15% de Mag) em Atk.,O usuário ganha (25% de Mag) em Atk.,O usuário ganha (35% de Mag) em Atk.,35
Rugido,25,35,50,normal,alvo,O inimigo perde 8% de Atk.,O inimigo perde 12% de Atk.,O inimigo perde 18% de Atk.,36
Chama Interior,25,35,50,fogo,ativa,O usuário ganha (15% de Mag) em SpA.,O usuário ganha (25% de Mag) em SpA.,O usuário ganha (35% de Mag) em SpA.,37
Névoa Fria,25,35,50,gelo,alvo,O inimigo perde 8% de SpA.,O inimigo perde 12% de SpA.,O inimigo perde 18% de SpA.,38
Casca de Pedra,25,35,50,rocha,ativa,O usuário ganha (15% de Mag) em Def.,O usuário ganha (25% de Mag) em Def.,O usuário ganha (35% de Mag) em Def.,39
Ferrugem,25,35,50,metal,alvo,O inimigo perde 8% de Def.,O inimigo perde 12% de Def.,O inimigo perde 18% de Def.,40
Escama Mística,25,35,50,dragao,ativa,O usuário ganha (15% de Mag) em SpD.,O usuário ganha (25% de Mag) em SpD.,O usuário ganha (35% de Mag) em SpD.,41
Sussurro Sombrio,25,35,50,sombrio,alvo,O inimigo perde 8% de SpD.,O inimigo perde 12% de SpD.,O inimigo perde 18% de SpD.,42
Canalizar,35,50,70,fada,ativa,O usuário ganha (15% de Mag) em Mag.,O usuário ganha (25% de Mag) em Mag.,O usuário ganha (35% de Mag) em Mag.,43
Selar Arcano,35,50,70,fantasma,alvo,O inimigo perde 7% de Mag.,O inimigo perde 11% de Mag.,O inimigo perde 16% de Mag.,44
Afiar,35,50,70,metal,ativa,O usuário ganha (15% de Mag) em Per.,O usuário ganha (25% de Mag) em Per.,O usuário ganha (35% de Mag) em Per.,45
Armadura Mole,35,50,70,venenoso,alvo,O inimigo perde 7% de Per.,O inimigo perde 11% de Per.,O inimigo perde 16% de Per.,46
Correnteza,25,35,50,agua,ativa,O usuário ganha (15% de Mag) em Vel.,O usuário ganha (25% de Mag) em Vel.,O usuário ganha (35% de Mag) em Vel.,47
Teia Pegajosa,25,35,50,inseto,alvo,O inimigo perde 8% de Vel.,O inimigo perde 12% de Vel.,O inimigo perde 18% de Vel.,48
Instinto,30,45,60,psiquico,ativa,O usuário ganha (15% de Mag) em Int.,O usuário ganha (25% de Mag) em Int.,O usuário ganha (35% de Mag) em Int.,49
Desorientar,30,45,60,fantasma,alvo,O inimigo perde 7% de Int.,O inimigo perde 11% de Int.,O inimigo perde 16% de Int.,50
Sede de Sangue,30,45,60,sombrio,ativa,O usuário ganha (8% de Mag) em Vamp.,O usuário ganha (13% de Mag) em Vamp.,O usuário ganha (20% de Mag) em Vamp.,51
Sangue Frio,30,45,60,gelo,ativa,O usuário ganha (6% de Mag) em CrC.,O usuário ganha (10% de Mag) em CrC.,O usuário ganha (16% de Mag) em CrC.,52
Azar,30,45,60,fantasma,alvo,O inimigo perde 6% de CrC.,O inimigo perde 10% de CrC.,O inimigo perde 15% de CrC.,53
Golpe Letal,30,45,60,sombrio,ativa,O usuário ganha (10% de Mag) em CrD.,O usuário ganha (18% de Mag) em CrD.,O usuário ganha (28% de Mag) em CrD.,54
Amolecer,30,45,60,fada,alvo,O inimigo perde 6% de CrD.,O inimigo perde 10% de CrD.,O inimigo perde 15% de CrD.,55
Casco Vivo,35,50,70,planta,ativa,O usuário ganha (12% de Mag) em Dur.,O usuário ganha (20% de Mag) em Dur.,O usuário ganha (32% de Mag) em Dur.,56
Rachar Terra,35,50,70,terra,alvo,O inimigo perde 6% de Dur.,O inimigo perde 10% de Dur.,O inimigo perde 15% de Dur.,57
Amplificar,40,55,75,eletrico,ativa,O usuário ganha (8% de Mag) em Amp.,O usuário ganha (14% de Mag) em Amp.,O usuário ganha (22% de Mag) em Amp.,58
Silenciar,35,50,70,sombrio,alvo,O inimigo perde 6% de Amp.,O inimigo perde 10% de Amp.,O inimigo perde 15% de Amp.,59
Inflar,35,50,70,normal,ativa,O usuário ganha (20% de Mag) em Vida Máxima.,O usuário ganha (30% de Mag) em Vida Máxima.,O usuário ganha (45% de Mag) em Vida Máxima.,60
Murchar,35,50,70,planta,alvo,O inimigo perde 6% de Vida Máxima.,O inimigo perde 10% de Vida Máxima.,O inimigo perde 15% de Vida Máxima.,61
Postura Firme,25,35,50,lutador,ativa,O usuário ganha (15% de Mag) em Assertividade.,O usuário ganha (25% de Mag) em Assertividade.,O usuário ganha (35% de Mag) em Assertividade.,62
Intimidar,25,35,50,sombrio,alvo,O inimigo perde 8% de Assertividade.,O inimigo perde 12% de Assertividade.,O inimigo perde 18% de Assertividade.,63
Olho de Águia,25,35,50,voador,ativa,O usuário ganha (15% de Mag) em Acurácia.,O usuário ganha (25% de Mag) em Acurácia.,O usuário ganha (35% de Mag) em Acurácia.,64
Poeira nos Olhos,25,35,50,terra,alvo,O inimigo perde 8% de Acurácia.,O inimigo perde 12% de Acurácia.,O inimigo perde 18% de Acurácia.,65
Raio de Fogo,75,105,135,fogo,alvo,"Causa (130% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (15% de SpA) do dano deste ataque.","Causa (165% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (13% de SpA) do dano deste ataque.","Causa (210% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (10% de SpA) do dano deste ataque.",66
Raio de Gelo,75,105,135,gelo,alvo,"Causa (130% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (15% de SpA) do dano deste ataque.","Causa (165% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (13% de SpA) do dano deste ataque.","Causa (210% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (10% de SpA) do dano deste ataque.",67
Raio Solar,80,110,145,planta,alvo,"Causa (130% de SpA) como dano especial em linha. Se o clima for Sol Forte, causa (160% de SpA). Para cada alvo atingido, reduz (15% de SpA) do dano deste ataque.","Causa (165% de SpA) como dano especial em linha. Se o clima for Sol Forte, causa (205% de SpA). Para cada alvo atingido, reduz (13% de SpA) do dano deste ataque.","Causa (210% de SpA) como dano especial em linha. Se o clima for Sol Forte, causa (260% de SpA). Para cada alvo atingido, reduz (10% de SpA) do dano deste ataque.",68
Raio Psíquico,75,105,135,psiquico,alvo,"Causa (130% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (15% de SpA) do dano deste ataque.","Causa (165% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (13% de SpA) do dano deste ataque.","Causa (210% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (10% de SpA) do dano deste ataque.",69
Raio Cósmico,90,120,155,cosmico,alvo,"Causa (145% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (12% de SpA) do dano deste ataque.","Causa (185% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (10% de SpA) do dano deste ataque.","Causa (235% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (8% de SpA) do dano deste ataque.",70
Dança da Chuva,40,,,agua,ativa,Muda o clima para Chuva.,,,71
Dança do Sol,40,,,fogo,ativa,Muda o clima para Sol Forte.,,,72
Dança Elétrica,55,,,eletrico,ativa,Muda o clima para Tempestade Elétrica.,,,73
Voador,0,,,voador,passivo,O usuário recebe Voando de forma permanente.,,,74
Flutuante,0,,,psiquico,passivo,O usuário recebe Flutuando de forma permanente.,,,75
Implacável,0,,,lutador,passivo,O usuário recebe Imparável de forma permanente.,,,76
Imunizado,0,,,venenoso,passivo,O usuário recebe Imunizado de forma permanente.,,,77
