Nome,Estadio,Cargo,Nivel,Skin,Batalhas,Pokemon1,Pokemon2,Pokemon3,Pokemon4,Pokemon5,Pokemon6,Pokemon7,Pokemon8,Pokemon9,Pokemon10,Pokemon11,Pokemon12,Pokemon13,Pokemon14,Pokemon15,Pokemon16,Pokemon17,Pokemon18,Presentes,Code
Leon,Geral,Lider,100,76,3,Golurk,Greninja,Tatsugiri,Garganacl,Aggron,Rhyperior,Buzzwole,Meloetta,Chi-Yu,Melmetal,Celesteela,Cresselia,Urshifu,Arceus,Necrozma,Eternatus,Rayquaza,Mewtwo,2,21
Caio Ferraz,Metal,Capitão,67,12,1,Skarmory,Ferrothorn,Bisharp,Copperajah,Steelix,Lucario,,,,,,,,,,,,,1,22
Helena Voltz,Eletrico,Capitão,66,18,1,Raichu,Manectric,Galvantula,Toxtricity,Jolteon,Ampharos,,,,,,,,,,,,,1,23
Ícaro Mente,Psiquico,Capitão,64,23,1,Kadabra,Mr. Mime,Grumpig,Xatu,Musharna,Reuniclus,,,,,,,,,,,,,1,24
Nádia Víbora,Venenoso,Capitão,65,31,1,Salazzle,Toxicroak,Drapion,Toxapex,Scolipede,Muk,,,,,,,,,,,,,1,25
Luan Eco,Sonoro,Capitão,63,34,1,Delcatty,Audino,Kricketune,Altaria,Toxtricity,Exploud,,,,,,,,,,,,,1,26
Breno Punho,Lutador,Capitão,68,41,1,Mienshao,Heracross,Bewear,Conkeldurr,Lucario,Machamp,,,,,,,,,,,,,1,27
Isabela Geada,Gelo,Capitão,62,46,1,Weavile,Beartic,Frosmoth,Glaceon,Vanilluxe,Walrein,,,,,,,,,,,,,1,28
Dante Brasa,Fogo,Capitão,66,52,1,Houndoom,Ninetales,Salazzle,Chandelure,Coalossal,Cinderace,,,,,,,,,,,,,1,29
Ryu Draconi,Dragão,Capitão,69,58,1,Druddigon,Flygon,Altaria,Noivern,Tyrantrum,Kingdra,,,,,,,,,,,,,1,30
Luna Véu,Fantasma,Capitão,64,63,1,Spiritomb,Banette,Mismagius,Cofagrigus,Trevenant,Chandelure,,,,,,,,,,,,,1,31
Mauro Umbra,Sombrio,Capitão,65,67,1,Houndoom,Drapion,Weavile,Zoroark,Honchkrow,Umbreon,,,,,,,,,,,,,1,32
Marina Maré,Agua,Capitão,66,72,1,Kingler,Lapras,Tentacruel,Politoed,Seismitoad,Blastoise,,,,,,,,,,,,,1,33
Bento Seda,Inseto,Capitão,62,83,1,Pinsir,Scyther,Galvantula,Frosmoth,Scolipede,Vikavolt,,,,,,,,,,,,,1,34
Cássio Estelar,Cosmico,Capitão,64,86,1,Musharna,Claydol,Beheeyem,Cryogonal,Orbeetle,Gothitelle,,,,,,,,,,,,,1,35
Vânia Celeste,Voador,Capitão,65,91,1,Braviary,Skarmory,Staraptor,Gliscor,Talonflame,Corviknight,,,,,,,,,,,,,1,36
Nora Campos,Normal,Capitão,63,3,1,Tauros,Zangoose,Miltank,Ursaring,Porygon2,Stoutland,,,,,,,,,,,,,1,37
Téo Barro,Terrestre,Capitão,66,7,1,Sandslash,Gliscor,Hippowdon,Excadrill,Donphan,Krookodile,,,,,,,,,,,,,1,38
Flora Encanto,Fada,Capitão,64,14,1,Azumarill,Wigglytuff,Mimikyu,Sylveon,Grimmsnarl,Florges,,,,,,,,,,,,,1,39
Gaia Verde,Planta,Capitão,63,19,1,Lilligant,Whimsicott,Ludicolo,Leafeon,Tangrowth,Rillaboom,,,,,,,,,,,,,1,40
Petra Rocha,Pedra,Capitão,65,32,1,Omastar,Kabutops,Crustle,Barbaracle,Aurorus,Gigalith,,,,,,,,,,,,,1,41
Alice Ferraz,Metal,Desafiante,15,5,1,Bronzor,Ferroseed,Aron,Klink,Magnemite,Pawniard,,,,,,,,,,,,,0,42
Enzo Raio,Eletrico,Desafiante,14,8,1,Pichu,Mareep,Tynamo,Joltik,Yamper,Shinx,,,,,,,,,,,,,0,43
Sofia Prisma,Psiquico,Desafiante,16,11,1,Wynaut,Mime Jr,Natu,Abra,Ralts,Espurr,,,,,,,,,,,,,0,44
Cael Víbora,Venenoso,Desafiante,15,13,1,Weedle,Zubat,Oddish,Croagunk,Ekans,Koffing,,,,,,,,,,,,,0,45
Melina Eco,Sonoro,Desafiante,14,17,1,Igglybuff,Smoochum,Bronzor,Tympole,Whismur,Kricketot,,,,,,,,,,,,,0,46
Hugo Punho,Lutador,Desafiante,16,20,1,Tyrogue,Riolu,Timburr,Pancham,Mankey,Machop,,,,,,,,,,,,,0,47
Bianca Neve,Gelo,Desafiante,14,24,1,Snom,Swinub,Spheal,Snorunt,Cubchoo,Vanillite,,,,,,,,,,,,,0,48
Ravi Chamas,Fogo,Desafiante,17,27,1,Magby,Vulpix,Torchic,Chimchar,Tepig,Litten,,,,,,,,,,,,,0,49
Kael Draco,Dragão,Desafiante,18,29,1,Applin,Bagon,Jangmo-o,Goomy,Noibat,Axew,,,,,,,,,,,,,0,50
Cíntia Véu,Fantasma,Desafiante,16,33,1,Sinistea,Sandygast,Duskull,Litwick,Gastly,Drifloon,,,,,,,,,,,,,0,51
Otávio Umbra,Sombrio,Desafiante,15,36,1,Seedot,Impidimp,Poochyena,Nickit,Sandile,Purrloin,,,,,,,,,,,,,0,52
Lia Azul,Agua,Desafiante,14,39,1,Magikarp,Feebas,Barboach,Tympole,Buizel,Mudkip,,,,,,,,,,,,,0,53
Ian Casulo,Inseto,Desafiante,13,42,1,Snom,Caterpie,Weedle,Scatterbug,Blipbug,Kricketot,,,,,,,,,,,,,0,54
Aurora Cosmo,Cosmico,Desafiante,16,45,1,Togepi,Cleffa,Blipbug,Gothita,Munna,Baltoy,,,,,,,,,,,,,0,55
Yuri Asa,Voador,Desafiante,14,48,1,Mantyke,Starly,Hoothoot,Pidgey,Rookidee,Spearow,,,,,,,,,,,,,0,56
Clara Campos,Normal,Desafiante,12,50,1,Rattata,Teddiursa,Lillipup,Zigzagoon,Sentret,Skitty,,,,,,,,,,,,,0,57
Davi Areia,Terrestre,Desafiante,15,53,1,Barboach,Phanpy,Geodude,Diglett,Wooper,Sandile,,,,,,,,,,,,,0,58
Mirela Encanto,Fada,Desafiante,14,55,1,Azurill,Togepi,Cleffa,Igglybuff,Cutiefly,Snubbull,,,,,,,,,,,,,0,59
Olívia Broto,Planta,Desafiante,13,60,1,Budew,Gossifleur,Cherubi,Seedot,Oddish,Turtwig,,,,,,,,,,,,,0,60
Raul Granito,Pedra,Desafiante,16,61,1,Bonsly,Roggenrola,Geodude,Cranidos,Nosepass,Rockruff,,,,,,,,,,,,,0,61
